param;SFH_D_1_2zone_TAB;SFH_D_1_2zone_REF1;SFH_D_1_2zone_REF2;SFH_D_2_2zone_TAB;SFH_D_2_2zone_REF1;SFH_D_2_2zone_REF2;SFH_D_3_2zone_TAB;SFH_D_3_2zone_REF1;SFH_D_3_2zone_REF2;SFH_D_4_2zone_TAB;SFH_D_4_2zone_REF1;SFH_D_4_2zone_REF2;SFH_D_5_2zone_TAB;SFH_D_5_ins_TAB;SFH_SD_1_2zone_TAB;SFH_SD_1_2zone_REF1;SFH_SD_1_2zone_REF2;SFH_SD_2_2zone_TAB;SFH_SD_2_2zone_REF1;SFH_SD_2_2zone_REF2;SFH_SD_3_2zone_TAB;SFH_SD_3_2zone_REF1;SFH_SD_3_2zone_REF2;SFH_SD_4_2zone_TAB;SFH_SD_4_2zone_REF1;SFH_SD_4_2zone_REF2;SFH_SD_5_TAB;SFH_SD_5_Ins_TAB;SFH_T_1_2zone_TAB;SFH_T_1_2zone_REF1;SFH_T_1_2zone_REF2;SFH_T_2_2zone_TAB;SFH_T_2_2zone_REF1;SFH_T_2_2zone_REF2;SFH_T_3_2zone_TAB;SFH_T_3_2zone_REF1;SFH_T_3_2zone_REF2;SFH_T_4_2zone_TAB;SFH_T_4_2zone_REF1;SFH_T_4_2zone_REF2;SFH_T_5_TAB;SFH_T_5_ins_TAB
CiN;2090628.919;2090628.919;2090628.919;1578973.3;1578973.3;1578973.3;1331590.279;1331590.279;1331590.279;1730559.791;1730559.791;1730559.791;1471235.48;1471235.48;1946579.523;1946579.523;1946579.523;1162464.16;1162464.16;1162464.16;913552.64;913552.64;913552.64;1336649.6;1336649.6;1336649.6;1963872.511;1963872.511;2173896.741;2173896.741;2173896.741;1798490.848;1798490.848;1798490.848;1538247.985;1538247.985;1538247.985;1858153.44;1858153.44;1858153.44;2024853.057;2024853.057
CwN;21240578.71;21240578.71;21240578.71;7751734.599;7751734.599;7751734.599;7436352.399;7436352.399;7436352.399;7323865.71;8711169.39;8711169.39;8804836.834;8804836.834;47663415.58;47663415.58;47663415.58;16454272.03;16454272.03;17237891.23;14269622.42;14269622.42;14269622.42;12706502.1;13637952.9;13637952.9;13694723.31;13694723.31;35109018.32;35109018.32;35109018.32;11922779.2;11922779.2;11922779.2;10731463.17;10731463.17;10731463.17;9332288.797;10026799.12;10026799.12;9772850.085;9772850.085
CwiN;5403923.364;5403923.364;2701961.682;5627370.63;5627370.63;5627370.63;5072676.63;5072676.63;5072676.63;5574674.7;5574674.7;5574674.7;4085296.236;4085296.236;26216935.26;28068135.26;17668026.28;23362333.87;30717865.87;15358932.94;13622794.52;13622794.52;6811397.258;15219117;29790519;14895259.5;12502488.69;12502488.69;40789907.03;45041882.03;45033687.03;49047207.69;72355063.69;48569587.69;46855746.44;46855746.44;66659001.44;50079113.79;80742317.79;79954701.79;37719449.16;37719449.16
f1N;0.09182576;0.09182576;0.137738639;0.102220777;0.102220777;0.102220777;0.11146014;0.11146014;0.11146014;0.100036755;0.100036755;0.100036755;0.093307143;0.093307143;0.073390939;0.099686674;0.099686674;0.072016314;0.101704881;0.101704881;0.078325476;0.117488214;0.117488214;0.076978281;0.102199893;0.102199893;0.075275509;0.075275509;0.041929374;0.062894061;0.062894061;0.040797267;0.0611959;0.040797267;0.03986756;0.03986756;0.05980134;0.034494713;0.05174207;0.05174207;0.039704635;0.039704635
f2N;0.033963264;0.033963264;0.050944895;0.031215184;0.031215184;0.031215184;0.029272138;0.029272138;0.029272138;0.029762753;0.029762753;0.029762753;0.028253237;0.028253237;0.088335109;0.148325943;0.148325943;0.080830695;0.131703413;0.131703413;0.075145486;0.112718229;0.112718229;0.078912157;0.139238231;0.139238231;0.080596198;0.080596198;0.135154826;0.202732239;0.202732239;0.134633382;0.201950074;0.134633382;0.137511424;0.137511424;0.206267137;0.129899394;0.194849091;0.194849091;0.137435534;0.137435534
f3N;0.80584011;0.80584011;0.708760165;0.806832696;0.806832696;0.806832696;0.806868813;0.806868813;0.806868813;0.807177081;0.807177081;0.807177081;0.806870908;0.806870908;0.804857597;0.706598058;0.706598058;0.80601702;0.708497524;0.708497524;0.807126069;0.710689103;0.710689103;0.807071632;0.709388622;0.709388622;0.809053468;0.809053468;0.80394668;0.705920019;0.705920019;0.804094892;0.706142338;0.804094892;0.803719358;0.803719358;0.705579038;0.803353359;0.705030039;0.705030039;0.805342719;0.805342719
f5N;0.068370867;0.068370867;0.1025563;0.059731343;0.059731343;0.059731343;0.052398909;0.052398909;0.052398909;0.063023411;0.063023411;0.063023411;0.071568712;0.071568712;0.033416355;0.045389325;0.045389325;0.04113597;0.058094183;0.058094183;0.039402969;0.059104453;0.059104453;0.03703793;0.049173253;0.049173253;0.035074825;0.035074825;0.01896912;0.028453681;0.028453681;0.020474459;0.030711689;0.020474459;0.018901657;0.018901657;0.028352486;0.032252533;0.0483788;0.0483788;0.017517112;0.017517112
hwN;551.5554209;404.7229073;380.6063323;478.2487661;181.7978305;181.7978305;208.2997207;164.4375091;164.4375091;192.6004336;171.5735971;171.5735971;502.0745479;502.0745479;723.062899;339.5027934;583.79906;508.6802201;291.6601821;240.6047067;258.9285026;235.1953017;188.242824;298.5534576;270.7229724;220.6773808;485.343858;485.343858;536.2835986;250.4988296;433.9335363;406.0252946;180.0656546;210.7399692;192.7888967;172.5090741;172.5090741;219.5236202;162.2804189;208.9971902;343.7547553;343.7547553
hwiN;143.2291218;95.60367488;95.60367488;98.99693248;98.99693248;98.99693248;89.23873312;89.23873312;89.23873312;98.06990354;98.06990354;98.06990354;108.2793653;108.2793653;572.7506371;432.4999463;432.4999463;390.5033726;296.3305069;296.3305069;299.1485651;167.1121221;207.8417312;334.2028691;297.8173097;297.8173097;403.0596707;403.0596707;1022.69423;681.984943;681.984943;953.952521;619.1848511;932.4267523;775.2250362;775.2250362;539.9464681;751.1683981;625.961274;523.3613904;736.7243476;736.7243476
infN;175.9139675;24.72;24.72;153.9400635;55.4733545;55.4733545;116.0891613;50.04251275;50.04251275;100.3663895;53.58819474;53.58819474;108.0847772;108.0847772;167.6711124;56.08679522;60.85703747;134.6851846;49.99506155;49.99506155;100.6573467;48.5450356;48.5450356;94.16852168;51.34676084;51.34676084;122.220494;122.220494;144.0288748;57.78679522;57.78679522;187.3145399;52.5143369;52.5143369;89.37265782;50.30796412;50.30796412;76.85812109;44.77987265;44.77987265;108.0251437;108.0251437
