,batt.p,batt.e,batt.de,batt.dp,batt.pd,batt.pc,batt.u,batt.abs_p,mg.p,mg.pout,mg.pin,mg.u,ps.scale_fact,ps.p_scaled,arc3_expanded.f,arc1_expanded.f,arc2_expanded.f,int,batt.soc,batt.inst_cost,mg.instant_cost,inst_obj
2018-04-01 00:00:00+02:00,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,10,0.0,0.0,2.78,0.0,15.366518933245455,50.0,0.0,8.525333333333334e-05,8.525333333333334e-05
2018-04-01 00:15:00+02:00,-1.8000000000000005,10.950000000000003,0.0005000000000000022,-0.0020000000000000005,0.0,1.8000000000000005,-0.0,0.0020000000000000005,4.625000000000001,4.625000000000001,0.0,1.0,10,0.0,0.0,4.625000000000001,-1.8000000000000005,15.366518933245455,52.14285714285715,5.555555555555557e-07,0.00014183333333333338,0.00014183333333333338
2018-04-01 00:30:00+02:00,-1.8000000000000005,11.400000000000002,0.0005000000000000001,0.0,0.0,1.8000000000000005,-0.0,0.0,4.670000000000001,4.670000000000001,0.0,1.0,10,0.0,0.0,4.670000000000001,-1.8000000000000005,15.366518933245455,54.28571428571429,0.0,0.00014321333333333337,0.00014321333333333337
2018-04-01 00:45:00+02:00,-1.8000000000000005,11.850000000000001,0.0005000000000000001,0.0,0.0,1.8000000000000005,-0.0,0.0,4.62,4.62,0.0,1.0,10,0.0,0.0,4.62,-1.8000000000000005,15.366518933245455,56.42857142857144,0.0,0.00014168,0.00014168
2018-04-01 01:00:00+02:00,-1.8000000000000005,12.3,0.0005000000000000001,0.0,0.0,1.8000000000000005,-0.0,0.0,4.57,4.57,0.0,1.0,10,0.0,0.0,4.57,-1.8000000000000005,15.366518933245455,58.57142857142857,0.0,0.00014014666666666668,0.00014014666666666668
2018-04-01 01:15:00+02:00,-1.8000000000000005,12.750000000000002,0.0005000000000000001,0.0,0.0,1.8000000000000005,-0.0,0.0,4.630000000000001,4.630000000000001,0.0,1.0,10,0.0,0.0,4.630000000000001,-1.8000000000000005,15.366518933245455,60.71428571428572,0.0,0.0001419866666666667,0.0001419866666666667
2018-04-01 01:30:00+02:00,-1.8000000000000005,13.200000000000001,0.0005000000000000001,0.0,0.0,1.8000000000000005,-0.0,0.0,4.69,4.69,0.0,1.0,10,0.0,0.0,4.69,-1.8000000000000005,15.366518933245455,62.857142857142854,0.0,0.0001438266666666667,0.0001438266666666667
2018-04-01 01:45:00+02:00,-1.7999999999999996,13.649999999999995,0.0004999999999999999,8.673617379884035e-19,0.0,1.7999999999999996,-0.0,0.0,4.685,4.685,0.0,1.0,10,0.0,0.0,4.685,-1.7999999999999996,15.366518933245455,64.99999999999997,0.0,0.00014367333333333333,0.00014367333333333333
2018-04-01 02:00:00+02:00,-1.7999999999999996,14.099999999999996,0.0004999999999999999,0.0,0.0,1.7999999999999996,-0.0,0.0,4.68,4.68,0.0,1.0,10,0.0,0.0,4.68,-1.7999999999999996,15.366518933245455,67.14285714285711,0.0,0.00014352,0.00014352
2018-04-01 02:15:00+02:00,-1.7999999999999996,14.549999999999997,0.0004999999999999999,0.0,0.0,1.7999999999999996,-0.0,0.0,4.654999999999999,4.654999999999999,0.0,1.0,10,0.0,0.0,4.654999999999999,-1.7999999999999996,15.366518933245455,69.28571428571428,0.0,0.00014275333333333331,0.00014275333333333331
2018-04-01 02:30:00+02:00,-1.7999999999999996,14.999999999999996,0.0004999999999999999,0.0,0.0,1.7999999999999996,-0.0,0.0,4.63,4.63,0.0,1.0,10,0.0,0.0,4.63,-1.7999999999999996,15.366518933245455,71.4285714285714,0.0,0.00014198666666666667,0.00014198666666666667
2018-04-01 02:45:00+02:00,-1.7999999999999996,15.449999999999998,0.0004999999999999999,0.0,0.0,1.7999999999999996,-0.0,0.0,4.645,4.645,0.0,1.0,10,0.0,0.0,4.645,-1.7999999999999996,15.366518933245455,73.57142857142856,0.0,0.00014244666666666665,0.00014244666666666665
2018-04-01 03:00:00+02:00,-1.7999999999999996,15.899999999999997,0.0004999999999999999,0.0,0.0,1.7999999999999996,-0.0,0.0,4.659999999999999,4.659999999999999,0.0,1.0,10,0.0,0.0,4.659999999999999,-1.7999999999999996,15.366518933245455,75.7142857142857,0.0,0.00014290666666666666,0.00014290666666666666
2018-04-01 03:15:00+02:00,-1.7999999999999996,16.349999999999998,0.0004999999999999999,0.0,0.0,1.7999999999999996,-0.0,0.0,4.665,4.665,0.0,1.0,10,0.0,0.0,4.665,-1.7999999999999996,15.366518933245455,77.85714285714285,0.0,0.00014306,0.00014306
2018-04-01 03:30:00+02:00,-1.7999999999999996,16.799999999999997,0.0004999999999999999,0.0,0.0,1.7999999999999996,-0.0,0.0,4.67,4.67,0.0,1.0,10,0.0,0.0,4.67,-1.7999999999999996,15.366518933245455,79.99999999999999,0.0,0.00014321333333333335,0.00014321333333333335
2018-04-01 03:45:00+02:00,-1.7999999999999996,17.25,0.0004999999999999999,0.0,0.0,1.7999999999999996,-0.0,0.0,4.68,4.68,0.0,1.0,10,0.0,0.0,4.68,-1.7999999999999996,15.366518933245455,82.14285714285714,0.0,0.00014352,0.00014352
2018-04-01 04:00:00+02:00,-1.7999999999999996,17.7,0.0004999999999999999,0.0,0.0,1.7999999999999996,-0.0,0.0,4.6899999999999995,4.6899999999999995,0.0,1.0,10,0.0,0.0,4.6899999999999995,-1.7999999999999996,15.366518933245455,84.28571428571428,0.0,0.00014382666666666667,0.00014382666666666667
